"Step","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s100_4 - train/loss","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s100_4 - train/loss__MIN","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s100_4 - train/loss__MAX","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s100_3 - train/loss","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s100_3 - train/loss__MIN","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s100_3 - train/loss__MAX","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s100_2 - train/loss","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s100_2 - train/loss__MIN","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s100_2 - train/loss__MAX","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s100_1 - train/loss","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s100_1 - train/loss__MIN","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s100_1 - train/loss__MAX","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s100_0 - train/loss","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s100_0 - train/loss__MIN","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s100_0 - train/loss__MAX"
"0","0.0942915603518486","0.0942915603518486","0.0942915603518486","0.08841097354888916","0.08841097354888916","0.08841097354888916","0.07608208060264587","0.07608208060264587","0.07608208060264587","0.09157001972198486","0.09157001972198486","0.09157001972198486","0.07364296913146973","0.07364296913146973","0.07364296913146973"
"1","0.0812414139509201","0.0812414139509201","0.0812414139509201","0.08364061266183853","0.08364061266183853","0.08364061266183853","0.08046142756938934","0.08046142756938934","0.08046142756938934","0.08368851244449615","0.08368851244449615","0.08368851244449615","0.06813214719295502","0.06813214719295502","0.06813214719295502"
"2","0.06965532153844833","0.06965532153844833","0.06965532153844833","0.07841483503580093","0.07841483503580093","0.07841483503580093","0.05372043699026108","0.05372043699026108","0.05372043699026108","0.07798322290182114","0.07798322290182114","0.07798322290182114","0.05113891884684563","0.05113891884684563","0.05113891884684563"
"3","0.06293097138404846","0.06293097138404846","0.06293097138404846","0.06290688365697861","0.06290688365697861","0.06290688365697861","0.05677979066967964","0.05677979066967964","0.05677979066967964","0.06848210841417313","0.06848210841417313","0.06848210841417313","0.0495733805000782","0.0495733805000782","0.0495733805000782"
"4","0.06096751615405083","0.06096751615405083","0.06096751615405083","0.07080891728401184","0.07080891728401184","0.07080891728401184","0.05080069601535797","0.05080069601535797","0.05080069601535797","0.06432844698429108","0.06432844698429108","0.06432844698429108","0.04918063059449196","0.04918063059449196","0.04918063059449196"
"5","0.06058179959654808","0.06058179959654808","0.06058179959654808","0.06192996725440025","0.06192996725440025","0.06192996725440025","0.05002586171030998","0.05002586171030998","0.05002586171030998","0.06139643117785454","0.06139643117785454","0.06139643117785454","0.047892890870571136","0.047892890870571136","0.047892890870571136"
"6","0.05925943702459335","0.05925943702459335","0.05925943702459335","0.060003142803907394","0.060003142803907394","0.060003142803907394","0.04828343912959099","0.04828343912959099","0.04828343912959099","0.05957333371043205","0.05957333371043205","0.05957333371043205","0.04822574183344841","0.04822574183344841","0.04822574183344841"
"7","0.05579796060919762","0.05579796060919762","0.05579796060919762","0.057810116559267044","0.057810116559267044","0.057810116559267044","0.04815562441945076","0.04815562441945076","0.04815562441945076","0.057904817163944244","0.057904817163944244","0.057904817163944244","0.0461149625480175","0.0461149625480175","0.0461149625480175"
"8","0.056935396045446396","0.056935396045446396","0.056935396045446396","0.05560678616166115","0.05560678616166115","0.05560678616166115","0.04716116935014725","0.04716116935014725","0.04716116935014725","0.055979568511247635","0.055979568511247635","0.055979568511247635","0.046100907027721405","0.046100907027721405","0.046100907027721405"
"9","0.05219723656773567","0.05219723656773567","0.05219723656773567","0.05558013916015625","0.05558013916015625","0.05558013916015625","0.04737390577793121","0.04737390577793121","0.04737390577793121","0.05402962118387222","0.05402962118387222","0.05402962118387222","0.044815074652433395","0.044815074652433395","0.044815074652433395"
